no,price,second
1,5000,0
1,5000,1
2,5000,0
3,6000,0
4,4500,0
4,4500,1
5,5000,0
6,6000,0
7,5000,0
7,5000,1
8,4500,0
9,5000,0
10,2000,0
11,2000,0
12,3000,0
13,2000,0
14,2000,0
15,2000,0
16,2000,0
17,3000,0
18,4500,0
19,1500,0
20,1500,0
21,2000,0
22,2000,0
23,2500,0
24,2500,0
25,7000,0
25,7000,0
26,5000,0
27,4000,0
28,2500,0
29,1000,0
30,1000,0
31,2000,0
32,1000,0
33,1000,0
34,2000,0
35,4000,0
36,4000,0
37,4000,0
38,5500,0
39,4000,0
40,3000,0
41,2000,0
42,2000,0
43,2000,0
44,2500,0
45,2500,0
46,2000,0
47,2000,0
48,2000,0
49,3000,0
50,4000,0
51,3000,0
52,6500,0
53,5000,0
54,8500,0
55,5000,0
56,3000,0
57,3500,0
58,3000,0
59,4000,0
60,3000,0
61,2500,0
62,3000,0
63,3500,0
64,5000,0
65,4500,0
66,3000,0
67,3000,0
68,3000,0
69,2000,0
70,2000,0
71,2500,0
72,2000,0
73,3500,0
74,3000,0
75,3000,0
76,3000,0
77,4500,0
78,5000,0
79,4000,0
80,4500,0
81,3000,0
82,4000,0
83,3000,0
84,2500,0
85,2500,0
86,3000,0
87,4500,0
88,3500,0
89,3000,0
90,3000,0
91,3000,0
92,5500,0
93,5000,0
94,4500,0
95,5000,0
96,3000,0
97,3500,0
98,2500,0
99,2500,0
100,4000,0
101,6000,0
102,4000,0
103,4000,0
104,3000,0
105,2500,0
106,2000,0
107,2500,0
108,2000,0
109,5500,0
110,6000,0
111,2500,0
112,3500,0
113,3000,0
114,3500,0
115,6000,0
116,4000,0
117,5000,0
118,2500,0
119,3000,0
120,3500,0
121,4000,0
122,4000,0
123,3500,0
124,5500,0
125,5000,0
126,6500,0
127,4000,0
128,4000,0
129,5000,0
130,8000,0
131,3500,0
132,4000,0
133,3000,0
132,3000,1
134,3500,0
135,4000,0
136,4000,0
137,3500,0
138,3000,0
139,4500,0
140,3000,0
141,3500,0
142,3500,0
143,7500,0
143,7500,1
144,8000,0
145,8000,0
146,5500,0
147,6000,0
148,7000,0
149,10000,0
150,50000,0
150,50000,0
151,50000,0
151,50000,1
